,State_Name,PPT
0,Andhra Pradesh,934.42
1,Arunachal Pradesh,1560.8628571428574
2,Assam,2126.1957142857145
3,Bihar,1190.3114285714287
4,Chhattisgarh,1353.3700000000001
5,Goa,2390.412857142857
6,Gujarat,757.78
7,Haryana,609.1414285714285
8,Himachal Pradesh,823.6057142857143
9,Jammu & Kashmir,1011.0
10,Jharkhand,1162.231632653061
11,Karnataka,1112.84
12,Kerala,2311.4942857142855
13,Madhya Pradesh,1105.6557142857143
14,Maharashtra,1108.247142857143
15,Manipur,1845.3914285714284
16,Meghalaya,3238.9842857142858
17,Mizoram,2512.4714285714285
18,Nagaland,1783.6942857142858
19,Orissa,1439.567142857143
20,Punjab,711.2785714285716
21,Rajasthan,521.0257142857142
22,Sikkim,1547.0371428571427
23,Tamil Nadu,1094.3028571428572
24,Telangana,1112.84
25,Tripura,2396.8
26,Uttarakhand,1023.4285714285714
27,Uttar Pradesh,967.58
28,West Bengal,1645.6371428571426
29,A.N.Islands,3220.9385714285713
30,Chandigarh,922.7142857142857
31,D & N Haveli,1847.3
32,Daman & Diu,1009.5971428571429
33,Delhi,667.4328571428572
34,Lakshadweep,1618.3428571428572
35,Puducherry,1858.8614285714284
36,,
